CD_UF,UF,CD_MUN6,CD_MUN,MUNICIPIO,CAPITAL,REGIAO METROPOLITANA,Frota_2001,Frota_2002,Frota_2003,Frota_2004,Frota_2005,Frota_2006,Frota_2007,Frota_2008,Frota_2009,Frota_2010,Frota_2011,Frota_2012,Frota_2013,Frota_2014,Frota_2015,Frota_2016,Frota_2017,Frota_2018,Frota_2019,Frota_2020,Frota_2021
12,AC,120001,1200013,Acrelândia,Não,-,148,254,380,605,847,1061,1288,1627,1974,2368,2802,3187,3543,3971,4364,4648,4856,5163,5541,6045,6465
12,AC,120005,1200054,Assis Brasil,Não,-,44,65,87,115,159,236,294,366,439,525,652,795,940,1119,1271,1363,1485,1615,1700,1879,2019
12,AC,120010,1200104,Brasiléia,Não,-,683,874,1064,1228,1468,1749,2117,2565,3095,3669,4176,4737,5329,6017,6697,7235,7638,8174,8840,9450,10280
12,AC,120013,1200138,Bujari,Não,-,34,55,107,157,219,274,336,441,562,711,865,993,1146,1309,1434,1570,1652,1780,1860,2022,2172
12,AC,120017,1200179,Capixaba,Não,-,36,65,98,129,171,239,348,449,567,741,886,1008,1154,1287,1468,1635,1748,1890,2003,2167,2334
12,AC,120020,1200203,Cruzeiro do Sul,Não,-,3142,4047,4777,5554,6523,7428,8513,9994,11950,14238,16368,18573,21134,23458,25388,26737,28254,29999,31897,33607,35315
12,AC,120025,1200252,Epitaciolândia,Não,-,289,426,610,774,1005,1208,1406,1692,2045,2394,2718,3059,3355,3735,4207,4608,4894,5277,5736,6162,6674
12,AC,120030,1200302,Feijó,Não,-,263,320,389,441,503,623,721,868,1086,1314,1586,1841,2120,2444,2731,2925,3132,3365,3588,3867,4162
12,AC,120032,1200328,Jordão,Não,-,0,0,0,0,0,0,2,5,8,16,24,37,60,68,74,83,92,107,118,128,142
12,AC,120033,1200336,Mâncio Lima,Não,-,195,257,334,414,520,558,678,845,1068,1335,1635,1990,2246,2493,2780,2991,3124,3292,3539,3756,3915
12,AC,120034,1200344,Manoel Urbano,Não,-,18,25,40,54,63,83,114,155,215,294,396,459,540,605,703,790,906,983,1036,1116,1235
12,AC,120035,1200351,Marechal Thaumaturgo,Não,-,0,0,0,0,0,0,2,7,24,65,99,123,168,209,236,268,286,299,334,353,375
12,AC,120038,1200385,Plácido de Castro,Não,-,234,308,419,537,700,859,1126,1440,1756,2119,2464,2787,3016,3247,3544,3794,3986,4200,4425,4677,4941
12,AC,120080,1200807,Porto Acre,Não,-,54,84,198,275,374,488,667,891,1129,1413,1656,1963,2197,2478,2779,2960,3097,3283,3403,3641,3952
12,AC,120039,1200393,Porto Walter,Não,-,0,0,0,0,0,0,3,6,20,42,61,84,107,135,169,201,232,261,294,328,361
12,AC,120040,1200401,Rio Branco,Sim,-,36380,39583,43225,47238,51710,57899,66202,76222,88148,101684,112849,122909,132030,141237,149320,155063,161941,169576,177450,183508,189591
12,AC,120042,1200427,Rodrigues Alves,Não,-,0,0,0,2,3,7,29,88,156,291,452,614,795,987,1118,1210,1285,1393,1503,1652,1753
12,AC,120043,1200435,Santa Rosa do Purus,Não,-,0,0,1,1,4,15,26,43,61,60,68,81,97,107,115,131,142,152,174,183,197
12,AC,120050,1200500,Sena Madureira,Não,-,527,687,823,964,1134,1337,1654,2102,2671,3213,3804,4425,5034,5734,6405,6865,7291,7750,8268,8760,9425
12,AC,120045,1200450,Senador Guiomard,Não,-,428,565,698,862,1025,1193,1485,1926,2353,2909,3410,3856,4281,4626,5051,5353,5580,5860,6157,6475,6757
12,AC,120060,1200609,Tarauacá,Não,-,414,527,686,863,916,1073,1232,1468,1764,2040,2340,2633,2882,3255,3593,3812,4088,4369,4636,4863,5104
12,AC,120070,1200708,Xapuri,Não,-,262,332,420,526,623,742,902,1115,1302,1553,1831,2134,2429,2808,3122,3362,3552,3807,4077,4370,4689
27,AL,270010,2700102,Água Branca,Não,Região Metropolitana do Sertão,0,0,0,0,0,739,881,1084,1326,1547,1845,2227,2561,2938,3223,3463,3658,3844,4095,4212,4551
27,AL,270020,2700201,Anadia,Não,-,0,0,0,0,0,565,656,772,937,1093,1338,1556,1754,1954,2077,2225,2378,2487,2674,2804,2963
27,AL,270030,2700300,Arapiraca,Não,Região Metropolitana do Agreste,20595,22532,24972,28568,31734,32834,36917,41492,46184,51510,57206,63692,70681,77541,83263,87820,92449,97648,103200,108819,114709
27,AL,270040,2700409,Atalaia,Não,Região Metropolitana do Vale do Paraíba,2548,2773,3085,3577,4141,1692,1954,2153,2330,2637,3090,3540,3909,4237,4603,4885,5182,5469,5857,6240,6640
27,AL,270050,2700508,Barra de Santo Antônio,Não,Região Metropolitana de Maceió,0,0,0,0,0,382,512,558,640,738,905,1052,1191,1350,1489,1599,1674,1766,1923,2110,2280
27,AL,270060,2700607,Barra de São Miguel,Não,Região Metropolitana de Maceió,0,0,0,0,0,354,396,468,544,641,766,874,1015,1123,1219,1330,1457,1539,1631,1739,1912
27,AL,270070,2700706,Batalha,Não,-,0,0,0,0,0,685,762,921,1144,1344,1619,1923,2291,2587,2802,3014,3144,3329,3533,3759,3989
27,AL,270080,2700805,Belém,Não,Região Metropolitana do Agreste,0,0,0,0,0,236,292,325,385,470,549,622,700,780,871,955,1030,1065,1113,1148,1216
27,AL,270090,2700904,Belo Monte,Não,-,0,0,0,0,0,82,113,135,172,212,265,352,426,522,554,591,624,664,715,779,807
27,AL,270100,2701001,Boca da Mata,Não,Região Metropolitana do Vale do Paraíba,1,1,0,0,0,1412,1676,1955,2260,2538,2865,3223,3550,3913,4164,4411,4623,4808,5035,5175,5354
27,AL,270110,2701100,Branquinha,Não,Região Metropolitana da Zona da Mata,0,0,0,0,0,152,198,224,295,404,535,689,801,934,1018,1118,1193,1268,1348,1396,1499
